id,type,url,title,agency,topics,sha
a99d1fde16b3,page,"https://www.education.gov.au/higher-education-statistics","Higher Education Statistics - Department of Education, Australian Government","EDUCATION","",a99d1fde16
7b875232de76,page,"https://www.education.gov.au/","Department of Education","EDUCATION","",7b875232de
94a3819fe6ce,page,"https://www.education.gov.au/about-department/corporate-reporting/information-publication-scheme-ips/public-reviews-and-consultations","Public reviews and consultations - Department of Education, Australian Government","EDUCATION","",94a3819fe6
c9a02b0e596e,page,"https://www.education.gov.au/about-department/our-ministers","Our Ministers - Department of Education, Australian Government","EDUCATION","",c9a02b0e59
d82cd6ccbb5e,page,"https://www.education.gov.au/programs-initiatives","Programs and initiatives | Department of Education","EDUCATION","",d82cd6ccbb
86317ebe1be9,page,"https://www.education.gov.au/search","","EDUCATION","",86317ebe1b
a3f77e75fcc6,page,"https://www.education.gov.au/welcome-department-education","Department of Education","EDUCATION","",a3f77e75fc
0b0b501bf9dd,page,"https://www.education.gov.au/about-department","About the Department - Department of Education, Australian Government","EDUCATION","",0b0b501bf9
8186d6afcd62,page,"https://www.education.gov.au/about-us","About Us - Department of Education, Australian Government","EDUCATION","",8186d6afcd
4808acaae9b3,page,"https://www.education.gov.au/about-department/resources/organisation-chart","Organisation chart - Department of Education, Australian Government","EDUCATION","",4808acaae9
508ac62cba60,page,"https://www.education.gov.au/about-department/our-executive","Our Executive - Department of Education, Australian Government","EDUCATION","",508ac62cba
d29090e25b37,page,"https://www.education.gov.au/about-us/national-redress-scheme","National Redress Scheme - Department of Education, Australian Government","EDUCATION","",d29090e25b
8b59ac1648f1,page,"https://www.education.gov.au/about-department/work-us","Work with us - Department of Education, Australian Government","EDUCATION","",8b59ac1648
3f0e5b6166fa,page,"https://www.education.gov.au/about-department/work-us/graduate-and-entry-level-programs/graduate-program","Graduate Program - Department of Education, Australian Government","EDUCATION","",3f0e5b6166
df2397e83fa1,page,"https://www.education.gov.au/about-department/corporate-reporting/corporate-plan","Corporate Plan - Department of Education, Australian Government","EDUCATION","",df2397e83f
96057181c2ce,page,"https://www.education.gov.au/about-department/corporate-reporting/gifts-and-benefits-register","Gifts and Benefits Register - Department of Education, Australian Government","EDUCATION","",96057181c2
